collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
15081	J. Alroy	CC BY	Aves	Ardeiformes	Ardeidae	n. gen.	Calcardea	n. sp.	junnei					1656	44.783333	-108.966667	50.16	-90.15	56.80000	55.80000	56.3
15536	J. Alroy	CC BY	Aves	Avetheropoda	Diatrymidae		Diatryma		gigantea					3021	44.5	-108	49.22	-90.79	55.80000	50.30000	53.05
15595	J. Alroy	CC BY	Aves	Avetheropoda	Pelagornithidae	?	Dasornis		sp.	?	Odontopteryx		sp.	2961	38.3	-77.4	38.78	-61.02	55.80000	50.30000	53.05
15853	J. Alroy	CC BY	Aves	Avetheropoda	Fluvioviridavidae	n. gen.	Fluvioviridavis	n. sp.	platyrhamphus					1693	41.7784	-110.734	46.89	-94.44	55.80000	50.30000	53.05
15853	J. Alroy	CC BY	Aves	Lithornithiformes	Lithornithidae	n. gen.	Pseudocrypturus	n. sp.	cercanaxius					1693	41.7784	-110.734	46.89	-94.44	55.80000	50.30000	53.05
16134	J. Alroy	CC BY	Aves	Avetheropoda	Presbyornithidae		Presbyornis		sp.					4172	42.066667	-109.1	46.63	-93.63	55.80000	46.20000	51
16228	J. Alroy	CC BY	Aves	Avetheropoda			Aletornis	n. sp.	bellus					34552	41.2	-110.5	45.23	-96.81	50.30000	46.20000	48.25
16228	J. Alroy	CC BY	Aves	Avetheropoda	Protostrigidae		Protostrix		leptosteus					34552	41.2	-110.5	45.23	-96.81	50.30000	46.20000	48.25
16228	J. Alroy	CC BY	Aves	Avetheropoda		n. gen.	Aletornis	n. sp.	nobilis					34552	41.2	-110.5	45.23	-96.81	50.30000	46.20000	48.25
16296	J. Alroy	CC BY	Aves	Avetheropoda	Phoenicopteridae		Juncitarsus		gracillimus					5778	41.2	-110.5	45.23	-96.81	50.30000	46.20000	48.25
16296	J. Alroy	CC BY	Aves	Avetheropoda	Presbyornithidae		Presbyornis		sp.					5778	41.2	-110.5	45.23	-96.81	50.30000	46.20000	48.25
16607	J. Alroy	CC BY	Aves	Avetheropoda	Anatidae	n. gen.	Eonessa	n. sp.	anaticula					2052	40.166667	-109.933333	42.99	-98.92	46.20000	40.40000	43.3
16692	J. Alroy	CC BY	Aves	Avetheropoda	Protostrigidae		Protostrix	n. sp.	californiensis					1681	32.9	-117.1	33.12	-103.91	46.20000	40.40000	43.3
16978	J. Alroy	CC BY	Aves	Avetheropoda	Bathornithidae		Bathornis		veredus					2700	43.3	-102.5	44.60	-93.68	37.20000	33.90000	35.55
17084	J. Alroy	CC BY	Aves	Avetheropoda	Bathornithidae		Bathornis		celeripes					2241	43.9	-102.4	45.02	-94.15	33.90000	33.30000	33.6
