Name_sp	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp
Carlia bicarinata	30.3666666666667	8	95	-11.3116857166775	-12.716	-8.6191204668139	265.58064516129	260	268
Carlia diguliensis	736.5	2	1471	-5.328335	-5.76667	-4.89	235.5	203	268
Carlia dogare	38.5	18	59	-15.075	-15.1	-15.05	255.5	255	256
Carlia gracilis	72.3964256701868	3	367	-13.2331275114597	-16.0487200057565	-11.1485900019191	273.106365834005	261	292
Carlia rubrigularis	553.663366336634	7	1306	-17.0377220792079	-18.966	-15.466	219.554455445545	184	255
Carlia tetradactyla	468.235	21	1027	-33.5635131185593	-36.88	-27.75	148.175	110	198
Carphophis amoenus	217.59387755102	2	1515	36.9417891280312	30.3336	42.1014	135.669371196755	79	195
Carphophis vermis	285.324175824176	80	637	36.9620535606786	33.30361	40	141.659340659341	113	175
Celatiscincus euryotis	93	93	93	-22.61667	-22.61667	-22.61667	224	224	224
Celatiscincus similis	436	170	929	-20.781475	-20.80389	-20.75972	216.666666666667	210	230
Celestus bivittatus	1619	1619	1619	14.14378	14.14378	14.14378	188	188	188
Celestus curtissi	109.911764705882	0	729	18.4197521948936	17.78333	20.01667	255	212	265
Celestus cyanochloris	3306	3306	3306	9.98	9.98	9.98	96	96	96
Celestus enneagrammus	2284.33333333333	1890	2918	19.1438344838287	17.2607304317605	19.615	138.555555555556	110	161
Celestus rozellae	280	119	504	16.7749887214954	16.45	17.0749661644863	247	238	253
Celestus sepsoides	234.918918918919	0	1063	18.6517815016222	18.23333	19.5906316966469	248.894736842105	217	265
Cemophora coccinea	80.376	0	572	33.2691830757681	25.22171	38.5278	174.44094488189	128	242
Cerastes vipera	176.388888888889	-21	1386	29.6340697894396	18.23633	33.983	212.333333333333	194	260
Cerberus australis	36.2	16	80	-14.9056800005673	-15.48333	-12.6285000028365	289.8	273	294
Cerberus rynchops	9	6	12	4.237845	-6.1744	14.65009	274	272	276
Cercosaura argulus	177.777777777778	75	264	-4.45209	-12.6	3.38333	256.333333333333	248	268
Cercosaura schreibersii	423.9	75	1100	-28.302941	-34.2833	-15.43333	187.5	168	228
Cerrophidion tzotzilorum	2425.2	2340	2543	16.6913871927178	16.6505	16.74947	136.2	132	141
Chalarodon madagascariensis	286.777777777778	8	911	-23.9007744444444	-25.16667	-21.89455	237.444444444444	217	245
Chalcides bedriagai	616.368932038835	0	2558	38.9914480414013	36.16	42.32	143.789808917197	71	183
Chalcides chalcides	377.428571428571	10	959	41.93141	36.91333	43.91667	140.142857142857	99	180
Chalcides colosii	145	22	268	35.595	35.29	35.9	175.5	167	184
Chalcides guentheri	371.958333333333	-94	1526	32.8704158333333	32.46964	33.29406	194.166666666667	133	213
Chalcides mionecton	88.5555555555556	5	497	33.110825	30.69778	34.26083	178.9	172	190
Chalcides polylepis	282.25	4	1063	33.8592075	33.40517	34.017	170.5	142	180
Chalcides pseudostriatus	268	268	268	35.9	35.9	35.9	167	167	167
Chalcides sexlineatus	467.470588235294	6	1524	27.9659133333333	27.8	28.16	177.166666666667	128	204
Chalcides striatus	632.269749518304	0	2165	40.9385332633588	36.07	44.46458	128.959923664122	59	186
Chalcides thierryi	1271	1271	1271	9.826	9.826	9.826	224	224	224
Chalcides viridanus	575.045454545455	1	1207	28.1792590909091	27.68	28.52	172.727272727273	130	205
Chamaeleo calyptratus	447	447	447	13.33183	13.33183	13.33183	271	271	271
Chamaeleo chamaeleon	304.872727272727	-22	1995	33.3201287719298	21.26667	37.26	187.40350877193	163	214
Chamaeleo dilepis	772.976958525346	2	5546	-16.5142456653252	-30.96667	0.5	215.004566210046	-30	278
Chamaeleo namaquensis	615.830769230769	0	1694	-23.2558869567111	-30.33333	-17.75	181.753846153846	138	217
Chamaeleo senegalensis	228.294117647059	6	1163	9.42804411764706	6.13194	14.91667	266.823529411765	218	297
Charina bottae	987.350877192982	3	3018	41.4276602045612	34.1626830526133	50.79809	90.8796992481203	-17	162
