collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
14385	J. Alroy	CC BY	Reptilia	Squamata	Contogeniidae		Utahgenys		sp.					1412	37.8	-111.5	39.22	-74	100.5	93.9	97.2
14392	J. Alroy	CC BY	Reptilia	Squamata	Teiidae	n. gen.	Ptilotodon	n. sp.	wilsoni					1212	34.4	-96.1	31.93	-50.83	122.46	109	115.73
14392	J. Alroy	CC BY	Reptilia	Squamata	Paramacellodidae	n. gen.	Atokasaurus	n. sp.	metarsiodon	?	Paramacellodidae		indet.	1212	34.4	-96.1	31.93	-50.83	122.46	109	115.73
14396	J. Alroy	CC BY	Reptilia	Squamata		n. gen.	Primaderma	n. sp.	nessovi		Necrosauridae		indet.	1210	39	-111	39.51	-72.19	105.3	93.5	99.4
14396	J. Alroy	CC BY	Reptilia	Squamata		n. gen.	Dimekodontosaurus	n. sp.	madseni					1210	39	-111	39.51	-72.19	105.3	93.5	99.4
14396	J. Alroy	CC BY	Reptilia	Squamata		n. gen.	Bothriagenys	n. sp.	mysterion					1210	39	-111	39.51	-72.19	105.3	93.5	99.4
14396	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Harmodontosaurus		emeryensis					1210	39	-111	39.51	-72.19	105.3	93.5	99.4
14396	J. Alroy	CC BY	Reptilia	Squamata		cf.	Pseudosaurillus		sp.					1210	39	-111	39.51	-72.19	105.3	93.5	99.4
14398	J. Alroy	CC BY	Reptilia	Squamata			Primaderma		nessovi					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14399	J. Alroy	CC BY	Reptilia	Squamata			Dimekodontosaurus		madseni					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14400	J. Alroy	CC BY	Reptilia	Squamata			Dimekodontosaurus		madseni					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14400	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Harmodontosaurus		emeryensis					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14402	J. Alroy	CC BY	Reptilia	Squamata			Primaderma		nessovi					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14405	J. Alroy	CC BY	Reptilia	Squamata	Teiidae	n. gen.	Harmodontosaurus	n. sp.	emeryensis					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14405	J. Alroy	CC BY	Reptilia	Squamata			Dimekodontosaurus		madseni					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14405	J. Alroy	CC BY	Reptilia	Squamata			Primaderma		nessovi					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14405	J. Alroy	CC BY	Reptilia	Squamata			Bothriagenys		mysterion					1223	39	-111	39.51	-72.19	105.3	93.5	99.4
14414	J. Alroy	CC BY	Reptilia	Squamata	Contogeniidae	n. gen.	Utahgenys	n. sp.	evansi					1412	37.8	-111.5	40.92	-76.39	93.9	89.8	91.85
14421	J. Alroy	CC BY	Reptilia	Squamata	Anguidae		Odaxosaurus	cf.	piger					1414	37.7	-113	45.95	-84.23	83.5	70.6	77.05
14421	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Meniscognathus	cf.	altmani					1414	37.7	-113	45.95	-84.23	83.5	70.6	77.05
14421	J. Alroy	CC BY	Reptilia	Squamata			Litakis		gilmorei					1414	37.7	-113	45.95	-84.23	83.5	70.6	77.05
14421	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Leptochamops		denticulatus					1414	37.7	-113	45.95	-84.23	83.5	70.6	77.05
14421	J. Alroy	CC BY	Reptilia	Squamata	Globauridae		Contogenys	cf.	sloani					1414	37.7	-113	45.95	-84.23	83.5	70.6	77.05
14421	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Chamops		segnis					1414	37.7	-113	45.95	-84.23	83.5	70.6	77.05
14425	J. Alroy	CC BY	Reptilia	Squamata	Scincidae	n. gen.	Aocnodromeus	n. sp.	corrugatus					1514	49.1	-111.8	56.58	-77.44	83.5	70.6	77.05
14425	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Sphenosiagon		simplex					1514	49.1	-111.8	56.58	-77.44	83.5	70.6	77.05
14425	J. Alroy	CC BY	Reptilia	Squamata	Scincidae	n. gen.	Penemabuya	n. sp.	antecessor					1514	49.1	-111.8	56.58	-77.44	83.5	70.6	77.05
14425	J. Alroy	CC BY	Reptilia	Squamata	Iguanidae	n. gen.	Cnephasaurus	n. sp.	locustivorus					1514	49.1	-111.8	56.58	-77.44	83.5	70.6	77.05
14425	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Chamops		sp.					1514	49.1	-111.8	56.58	-77.44	83.5	70.6	77.05
14428	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Chamops		sp.					1173	49.1	-111.8	56.58	-77.44	83.5	70.6	77.05
